Date,Qty,DRUG
2017-08-20 00:00:00,2,Action tabs (1x50) (pairs)
2017-08-20 00:00:00,60,Amoxycilin caps ord… (10x10)
2017-08-20 00:00:00,51,Ampicloxa 500mg caps ord(10x10)
2017-08-20 00:00:00,13,Ceftriaxone Inj ord…
2017-08-20 00:00:00,10,Ciprofloxacin ord 10x10
2017-08-20 00:00:00,50,Dexa tabs 0.5mg 10x10
2017-08-20 00:00:00,30,Diclofenac 50mg tabs ord. 10x10
2017-08-21 00:00:00,1,Action tabs (1x50) (pairs)
2017-08-21 00:00:00,1,Albendazole 400mg ord.. (doses)
2017-08-21 00:00:00,20,Amoxycilin caps ord… (10x10)
2017-08-21 00:00:00,32,Ampicloxa 500mg caps ord(10x10)
2017-08-21 00:00:00,7,Ceftriaxone Inj ord…
2017-08-21 00:00:00,35,Ciprofloxacin ord 10x10
2017-08-21 00:00:00,10,Diclofenac 50mg tabs ord. 10x10
2017-08-22 00:00:00,5,Action tabs (1x50) (pairs)
2017-08-22 00:00:00,50,Amoxycilin caps ord… (10x10)
2017-08-22 00:00:00,10,Ampicloxa 500mg caps ord(10x10)
2017-08-22 00:00:00,3,Ceftriaxone Inj ord…
2017-08-22 00:00:00,12,Ciprofloxacin ord 10x10
2017-08-22 00:00:00,15,Cotrimoxazole 480mg ord…
2017-08-22 00:00:00,32,Diclofenac 50mg tabs ord. 10x10
2017-08-23 00:00:00,4,Action tabs (1x50) (pairs)
2017-08-23 00:00:00,5,Albendazole 400mg ord.. (doses)
2017-08-23 00:00:00,50,Amoxycilin caps ord… (10x10)
2017-08-23 00:00:00,30,Ampicloxa 500mg caps ord(10x10)
2017-08-23 00:00:00,24,Ceftriaxone Inj ord…
2017-08-23 00:00:00,40,Ciprofloxacin ord 10x10
2017-08-24 00:00:00,2,Action tabs (1x50) (pairs)
2017-08-24 00:00:00,7,Albendazole 400mg ord.. (doses)
2017-08-24 00:00:00,2,Amlodac 10mg (3x10) (tabs)
2017-08-24 00:00:00,35,Amoxycilin caps ord… (10x10)
2017-08-24 00:00:00,60,Ampicloxa 500mg caps ord(10x10)
2017-08-24 00:00:00,48,Ceftriaxone Inj ord…
2017-08-24 00:00:00,15,Ciprofloxacin ord 10x10
2017-08-24 00:00:00,40,Cotrimoxazole 480mg ord…
2017-08-24 00:00:00,20,Dexa tabs 0.5mg 10x10
2017-08-24 00:00:00,50,Diclofenac 50mg tabs ord. 10x10
2017-08-25 00:00:00,2,Action tabs (1x50) (pairs)
2017-08-25 00:00:00,15,Amoxycilin caps ord… (10x10)
2017-08-25 00:00:00,45,Ampicloxa 500mg caps ord(10x10)
2017-08-25 00:00:00,12,Ceftriaxone Inj ord…
2017-08-25 00:00:00,5,Cotrimoxazole 480mg ord…
2017-08-25 00:00:00,40,Dexa tabs 0.5mg 10x10
2017-08-25 00:00:00,40,Diclofenac 50mg tabs ord. 10x10
2017-08-26 00:00:00,3,Action tabs (1x50) (pairs)
2017-08-26 00:00:00,10,Amoxycilin caps ord… (10x10)
2017-08-26 00:00:00,25,Ampicloxa 500mg caps ord(10x10)
2017-08-26 00:00:00,12,Ceftriaxone Inj ord…
2017-08-26 00:00:00,102,Ciprofloxacin ord 10x10
2017-08-26 00:00:00,19,Cotrimoxazole 480mg ord…
2017-08-26 00:00:00,40,Dexa tabs 0.5mg 10x10
